stop_id,stop_name,stop_desc,stop_lat,stop_lon
2000556,(M) BALOK MAKMUR,JLN BALOK PERDANA,3.9648293690809,103.38295154249
2000956,SIMPANG CARGILL,JLN PERINDUSTRIAN GEBENG,3.9763157664811,103.39290642855
2000911,KAWASAN PERINDUSTRIAN GEBENG,JLN KUANTAN-KEMAMAN,4.0151522094961,103.4043484775
2000913,SURAU AT TAUFIK,JLN KUANTAN-KEMAMAN,4.03920607336,103.39444062451
2000914,SK SG ULAR,JLN KUANTAN-KEMAMAN,4.0411941135053,103.39368926074
2000952,MASJID BARU SG ULAR,JLN KUANTAN-KEMAMAN,4.0439153726767,103.39329666701
2000916,SENCTUARY RESORT,JLN KUANTAN-KEMAMAN,4.0522182510402,103.39385665264
2000949,PERKAMPUNGAN SG ULAR AMAN,JLN KUANTAN-KEMAMAN,4.0628545117113,103.38999020302
2000919,TAMAN AGROTEKNOLOGI MARDI,JLN KUANTAN-KEMAMAN,4.0775426628989,103.38640371094
2000920,(M) PERUMAHAN KAKITANGAN MARDI,JLN KUANTAN-KEMAMAN,4.080335102871,103.38544351653
2000921,BIZ CLUB,JLN KUANTAN-KEMAMAN,4.0980161221718,103.38167961679
2000923,LEGEND RESORT,JLN KUANTAN-KEMAMAN,4.1012438744106,103.38133989903
2000924,KLINIK DESA CHERATING,JLN KUANTAN-KEMAMAN,4.1043544292716,103.38118053195
2000925,TAMAN ARMANI CHERATING,JLN KUANTAN-KEMAMAN,4.1071487089291,103.38113887647
2000926,S.K CHERATING,JLN KUANTAN-KEMAMAN,4.1104404748522,103.38115025035
2000928,LAGOONA VILLA,JLN KUANTAN-KEMAMAN,4.121573530473,103.38155105548
2000929,PANTAI CHERATING,JLN KUANTAN-KEMAMAN,4.1317863961167,103.40084925303
2000939,CLUB MED,JLN KUANTAN-KEMAMAN,4.140098732345,103.40159814562
2000931,KG KUBANG IKAN,JLN KUANTAN-KEMAMAN,4.1449820391856,103.40155231518
2000932,TAMAN BIMBINGAN KG KUBANG IKAN,JLN KUANTAN-KEMAMAN,4.1483454328081,103.40119429447
2000933,IMPIANA RESORT,JLN KUANTAN-KEMAMAN,4.1595152706871,103.40184731437
2000934,(M) BANDAR BARU CHENDOR,JLN KUANTAN-KEMAMAN,4.162084389814,103.40224744334
2000935,BANDAR BARU CHENDOR,JLN KUANTAN-KEMAMAN,4.162102732702,103.40237350244
2000937,TAMAN BIMBINGAN KG KUBANG IKAN,JLN KEMAMAN-KUANTAN,4.1483637019838,103.40128432475
2000938,KG KUBANG IKAN,JLN KEMAMAN-KUANTAN,4.1450272009387,103.40152520446
2000930,CLUB MED,JLN KEMAMAN-KUANTAN,4.1400988416548,103.40165218506
2000940,PANTAI CHERATING,JLN KEMAMAN-KUANTAN,4.1318406195052,103.40083113137
2000941,LAGOONA VILLA,JLN KEMAMAN-KUANTAN,4.1215644321674,103.38152405495
2000942,(M) SK CHERATING,JLN KEMAMAN-KUANTAN,4.1104494814245,103.3811322198
2000943,TAMAN ARMANI CHERATING,JLN KEMAMAN-KUANTAN,4.1071938700761,103.38111176698
2000944,KLINIK DESA CHERATING,JLN KEMAMAN-KUANTAN,4.1043092132039,103.38118062303
2000945,LEGEND RESORT,JLN KEMAMAN-KUANTAN,4.1014520511241,103.38142954087
2000946,BIZ CLUB,JLN KEMAMAN-KUANTAN,4.0982422208605,103.38168816821
2000948,TAMAN AGROTEKNOLOGI MARDI,JLN KEMAMAN-KUANTAN,4.0784829970869,103.3863207823
2000918,PERKAMPUNGAN SG ULAR AMAN,JLN KEMAMAN-KUANTAN,4.062836533239,103.39004427283
2000951,SENCTUARY RESORT,JLN KEMAMAN-KUANTAN,4.0523904676054,103.39405443589
2000915,MASJID BARU SG ULAR,JLN KEMAMAN-KUANTAN,4.0441328407456,103.39351237063
2000953,SK SG ULAR,JLN KEMAMAN-KUANTAN,4.0413929585053,103.39363483657
2000954,SURAU AT TAUFIK,JLN KEMAMAN-KUANTAN,4.0390978395699,103.3945849245
2000955,KAWASAN PERINDUSTRIAN GEBENG,JLN KEMAMAN-KUANTAN,4.0154049642391,103.40411385055
2000910,SIMPANG CARGILL,JLN PERINDUSTRIAN GEBENG,3.9763073741053,103.39323962076
2000325,(M) HENTIAN BANDAR,JLN PASAR,3.8122256488901,103.32277938627
2000395,PADANG BESAR MBK,JLN BUKIT UBI,3.805713,103.326032
2000133,MASJID NEGERI PAHANG,JLN MAHKOTA,3.806458,103.327646
2000198,UOB BANK,JLN BESAR,3.8072837119611,103.32978402323
2000470,MENARA KUANTAN 188,JLN BESAR,3.8035149065029,103.32624424933
2000329,HOSPITAL TENGKU AMPUAN AFZAN,JLN TANAH PUTIH,3.800603,103.323625
2000252,(M) MAJLIS BANDARAYA KUANTAN,JLN TANAH PUTIH,3.798661,103.321761
2000324,LHDN KUANTAN,JLN TANAH PUTIH,3.795984,103.317042
2000416,SJKC CHUNG CHING,JLN TANAH PUTIH,3.7938580654174,103.31292117399
2000475,(M) PASARAYA GIANT,JLN TANAH PUTIH,3.7924412965752,103.30982708458
2000460,TANAH PUTIH BARU,JLN TANAH PUTIH,3.7888798954459,103.30139877901
2000431,SHELL TAMAN KURNIA,JLN TANAH PUTIH,3.7841361211925,103.28956103335
2000165,BATU 3,JLN TANAH PUTIH,3.7824637448732,103.28527925696
2000274,TAMAN BELUKAR MAJU,JLN GAMBANG,3.780861,103.281383
2000199,PERKAMPUNGAN RAZALI,JLN GAMBANG,3.779545,103.278044
2000050,MENARA TM,JLN PERMATANG BADAK,3.7806647555755,103.27192358738
