route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
30000009,26060901,260609010049S10,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S11,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S12,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S13,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S14,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S15,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S16,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S17,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S18,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S19,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S2,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S20,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S21,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S22,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S23,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S24,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S25,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S26,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S27,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S28,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S29,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S3,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S30,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S31,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S32,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S33,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S34,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S35,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S36,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S37,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S38,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S39,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S4,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S5,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S6,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S7,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S8,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060901,260609010049S9,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060902,260609020049S10,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060902,260609020049S11,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060902,260609020049S12,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060902,260609020049S13,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060902,260609020049S14,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060902,260609020049S15,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060902,260609020049S16,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060902,260609020049S17,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060902,260609020049S18,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060902,260609020049S19,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060902,260609020049S2,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060902,260609020049S20,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060902,260609020049S21,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060902,260609020049S22,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060902,260609020049S23,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060902,260609020049S24,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060902,260609020049S25,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060902,260609020049S26,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060902,260609020049S27,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
30000009,26060902,260609020049S28,MRT SURIAN - SEK 11 KOTA DAMANSARA,0,1000000061
